Id,TagName,Count
"41","r","20740"
"111","regression","19176"
"9","machine-learning","13169"
"30","time-series","9831"
"188","probability","7807"
"38","hypothesis-testing","6627"
"6","distributions","6357"
"1483","self-study","6257"
"975","logistic","5274"
"1","bayesian","5221"
"94","classification","4943"
"62","neural-networks","4899"
"213","mathematical-statistics","4478"
"47","correlation","4466"
"135","statistical-significance","4287"
"529","normal-distribution","3991"
"21","anova","3774"
"742","multiple-regression","3716"
"263","mixed-model","3501"
"55","clustering","3127"
"275","confidence-interval","3022"
"131","generalized-linear-model","2853"
"147","variance","2733"
"74","forecasting","2680"
"340","python","2630"
"126","categorical-data","2626"
"109","pca","2522"
"219","cross-validation","2451"
"159","estimation","2429"
"129","t-test","2410"
"54","data-visualization","2347"
"161","maximum-likelihood","2200"
"430","sampling","2165"
"283","chi-squared","2100"
"1404","deep-learning","2054"
"3431","lme4-nlme","1997"
"591","arima","1962"
"288","predictive-models","1952"
"243","svm","1907"
"321","modeling","1875"
"621","optimization","1862"
"39","p-value","1843"
"1071","references","1835"
"305","repeated-measures","1830"
"425","multivariate-analysis","1818"
"383","survival","1808"
"218","feature-selection","1763"
"160","least-squares","1744"
"255","random-forest","1738"
"221","data-transformation","1735"
"507","inference","1654"
"636","interaction","1651"
"231","econometrics","1640"
"246","spss","1632"
"176","binomial","1615"
"200","mean","1589"
"731","linear-model","1569"
"59","random-variable","1512"
"337","conditional-probability","1509"
"356","interpretation","1499"
"467","panel-data","1458"
"1143","prediction","1458"
"237","model-selection","1419"
"33","standard-deviation","1415"
"10","dataset","1381"
"72","nonparametric","1356"
"44","poisson-distribution","1345"
"436","expected-value","1327"
"206","bootstrap","1313"
"938","regression-coefficients","1292"
"379","experiment-design","1261"
"158","sample-size","1253"
"85","multiple-comparisons","1252"
"631","simulation","1216"
"465","autocorrelation","1212"
"656","descriptive-statistics","1199"
"378","matlab","1175"
"1224","scikit-learn","1157"
"307","stata","1153"
"869","covariance","1150"
"347","terminology","1146"
"127","data-mining","1133"
"708","residuals","1130"
"113","mcmc","1123"
"427","missing-data","1116"
"27","pdf","1112"
"469","multilevel-analysis","1111"
"3250","conv-neural-network","1056"
"359","standard-error","1049"
"1139","model","1003"
"323","lasso","992"
"122","outliers","963"
"257","binary-data","953"
"443","cart","952"
"319","stochastic-processes","942"
"256","factor-analysis","915"
"489","independence","902"
"420","stationarity","894"
"865","cox-model","891"
"403","normalization","889"
"157","random-effects-model","876"
"449","monte-carlo","874"
"409","meta-analysis","863"
"481","survey","860"
"405","markov-process","857"
"414","goodness-of-fit","836"
"856","k-means","823"
"1284","likelihood","816"
"284","multicollinearity","813"
"495","dimensionality-reduction","809"
"509","heteroscedasticity","805"
