id,tag_name,count,excerpt_post_id,wiki_post_id
8383,prerequisites,256,13267340,13267339
9328,bufferedinputstream,256,13050316,13050315
11688,code-metrics,256,5893530,5893529
15140,switching,256,19226730,19226729
19404,wshttpbinding,256,14740676,14740675
26602,ant-contrib,256,8924398,8924397
31902,ibm-doors,256,5971407,5971406
32544,event-delegation,256,8749577,8749576
39137,php-include,256,10065834,10065833
42377,geopy,256,11008491,11008490
47609,vpython,256,7035969,7035968
67309,libssh2,256,15365676,15365675
74878,long-press,256,8197322,8197321
75370,tablecolumn,256,16611156,16611155
89929,word-frequency,256,15472263,15472262
92418,liferay-aui,256,17009161,17009160
107183,ibdesignable,256,29990979,29990978
108745,netflix-feign,256,27391243,27391242
110003,fiware-cygnus,256,28500090,28500089
111886,aws-kms,256,30192161,30192160
114133,readr,256,32126979,32126978
122738,android-7.1-nougat,256,40792777,40792776
130194,element-ui,256,47793810,47793809
1618,boxing,512,5176651,5176650
7508,traffic,512,19737228,19737227
11495,named-entity-recognition,512,18221653,18221652
28432,cgimage,512,5853654,5853653
48391,ajax4jsf,512,9033207,9033206
55910,android-browser,512,11517114,11517113
75872,tire,512,13857432,13857431
81587,simple-framework,512,11222200,11222199
86357,hhvm,512,16756591,16756590
92763,worklight-adapters,512,17843368,17843367
93319,ng-show,512,30923844,30923843
101689,node-sass,512,22193206,22193205
124862,oracle-apex-5.1,512,42426408,42426407
128625,pipenv,512,47618400,47618399
131331,terraform-provider-aws,512,48896910,48896909
6362,teechart,768,6088023,6088022
14087,formulas,768,20749953,20749952
105225,gulp-watch,768,26609277,26609276
46766,bson,1024,7882856,7882855
10303,xor,1280,5852448,5852447
46228,django-haystack,1280,5413664,5413663
1008,stringbuilder,1792,8168274,8168273
8995,ternary-operator,1792,4912997,4912996
32842,unix-timestamp,1792,9699170,9699169
41624,windows-7-x64,1792,13635976,13635975
114357,telegram-bot,2048,32781970,32781969
9020,linear-algebra,3072,6904704,6904703
12305,limit,3584,15002257,15002256
97002,mean-stack,3584,19416789,19416788
110585,jupyter,3840,29051281,29051280
1634,rewrite,4096,6045033,6045032
120358,xcode8,4096,37798535,37798534
